Unnamed: 0,Team,P,W,L,D,T,NR,RR,Pts,Unnamed: 10,Unnamed: 11
1,New Zealand,6,6,0,0,0,0,2.564,12,,
2,Australia,6,4,1,0,0,1,2.257,9,,
3,Sri Lanka,6,4,2,0,0,0,0.371,8,,
4,Bangladesh,6,3,2,0,0,1,0.136,7,,
5,England,6,2,4,0,0,0,-0.753,4,,
6,Afghanistan,6,1,5,0,0,0,-1.853,2,,
7,Scotland,6,0,6,0,0,0,-2.218,0,,
Last updated 30th July 2021 at 14:12,Last updated 30th July 2021 at 14:12,Last updated 30th July 2021 at 14:12,Last updated 30th July 2021 at 14:12,Last updated 30th July 2021 at 14:12,Last updated 30th July 2021 at 14:12,Last updated 30th July 2021 at 14:12,Last updated 30th July 2021 at 14:12,Last updated 30th July 2021 at 14:12,Last updated 30th July 2021 at 14:12,Last updated 30th July 2021 at 14:12,Last updated 30th July 2021 at 14:12
