,id,rank,Country,Continent,TwoLetterSymbol,ThreeLetterSymbol,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
39,a173c7c0-6c68-4505-a21e-303b977f4432,114,Kyrgyzstan,Asia,kg,kgz,3.07,1.45,28.35,95.13,206464,0,2991,0,196406,0,7067,1907195,6728271,33,2250,4,445,131,283460,30686
40,a22a19dd-cd37-4b17-bb78-214d939dcba6,115,Afghanistan,Asia,af,afg,0.5,3.84,2.8,88.8,203942,0,7829,0,181093,0,15020,1140999,40754388,200,5206,36,192,1124,27997,5004
41,3aae6f72-2cd7-423d-9e01-c89c936d9d98,118,Maldives,Asia,mv,mdv,34.28,0.17,409.22,88.26,185454,0,309,0,163687,0,21458,2213831,540985,3,1751,0,571,25,4092223,342808
42,f01f73fb-71ea-4624-b07e-e86ac91bc8aa,124,Cambodia,Asia,kh,khm,0.8,2.21,18.01,97.78,137996,0,3056,0,134934,0,6,3091420,17168639,124,5618,6,178,0,180062,8038
43,bf5fe94d-de57-4ff8-b174-c1238e097c6c,147,Bhutan,Asia,bt,btn,7.92,0.03,292.37,98.61,62430,0,21,0,61564,0,845,2303734,787941,13,37521,0,27,0,2923739,79232
44,86c418c9-9bad-4c05-90a0-31f87650ee52,148,Syria,Asia,sy,syr,0.3,5.51,0.76,94.48,57372,0,3163,0,54203,0,6,146269,19364809,338,6122,132,163,0,7553,2963
45,3bf85af0-0824-456e-b402-e67770e0d954,172,Timor-Leste,Asia,tl,tls,1.7,0.59,20.34,99.11,23310,0,138,0,23102,0,70,278529,1369429,59,9923,5,101,0,203391,17022
46,ade1dd49-6935-41ea-9387-173c6fabbdf2,183,Tajikistan,Asia,tj,tjk,0.18,0.7,0.0,97.07,17786,0,125,0,17264,0,397,0,9957464,560,79660,0,13,0,0,1786
47,7571007a-00f6-4500-bb60-f4fefbd4e388,196,Yemen,Asia,ye,yem,0.04,18.07,1.06,76.38,11945,0,2159,0,9124,0,662,329592,31154867,2608,14430,95,69,23,10579,383
48,4f5de98a-49e3-4394-9534-b4b0c800ff96,222,Macao,Asia,mo,mac,0.12,0.75,1.18,98.99,795,0,6,0,787,0,2,7850,667490,840,111248,85,9,0,11760,1191
